itemId,itemDescription,earliestDate
119,ready soups,2014-04-11T00:00:00.000Z
120,red/blush wine,2014-01-04T00:00:00.000Z
121,rice,2014-01-07T00:00:00.000Z
122,roll products ,2014-01-02T00:00:00.000Z
123,rolls/buns,2014-01-02T00:00:00.000Z
124,root vegetables,2014-01-02T00:00:00.000Z
125,rubbing alcohol,2014-03-04T00:00:00.000Z
126,rum,2014-01-06T00:00:00.000Z
127,salad dressing,2014-04-03T00:00:00.000Z
128,salt,2014-01-09T00:00:00.000Z
129,salty snack,2014-01-02T00:00:00.000Z
130,sauces,2014-01-02T00:00:00.000Z
131,sausage,2014-01-01T00:00:00.000Z
132,seasonal products,2014-01-09T00:00:00.000Z
133,semi-finished bread,2014-01-02T00:00:00.000Z
134,shopping bags,2014-01-01T00:00:00.000Z
135,skin care,2014-04-13T00:00:00.000Z
136,sliced cheese,2014-01-01T00:00:00.000Z
137,snack products,2014-01-25T00:00:00.000Z
138,soap,2014-01-02T00:00:00.000Z
139,soda,2014-01-01T00:00:00.000Z
140,soft cheese,2014-01-06T00:00:00.000Z
141,softener,2014-01-12T00:00:00.000Z
142,soups,2014-01-04T00:00:00.000Z
143,sparkling wine,2014-01-11T00:00:00.000Z
144,specialty bar,2014-01-07T00:00:00.000Z
145,specialty cheese,2014-01-11T00:00:00.000Z
146,specialty chocolate,2014-01-01T00:00:00.000Z
147,specialty fat,2014-02-10T00:00:00.000Z
148,specialty vegetables,2014-02-10T00:00:00.000Z
149,spices,2014-02-22T00:00:00.000Z
150,spread cheese,2014-01-06T00:00:00.000Z
151,sugar,2014-01-05T00:00:00.000Z
152,sweet spreads,2014-01-05T00:00:00.000Z
153,syrup,2014-01-07T00:00:00.000Z
154,tea,2014-02-04T00:00:00.000Z
155,tidbits,2014-01-19T00:00:00.000Z
156,toilet cleaner,2014-03-23T00:00:00.000Z
157,tropical fruit,2014-01-01T00:00:00.000Z
158,turkey,2014-01-09T00:00:00.000Z
159,vinegar,2014-01-05T00:00:00.000Z
160,waffles,2014-01-01T00:00:00.000Z
161,whipped/sour cream,2014-01-01T00:00:00.000Z
162,whisky,2014-04-05T00:00:00.000Z
163,white bread,2014-01-02T00:00:00.000Z
164,white wine,2014-01-09T00:00:00.000Z
165,whole milk,2014-01-01T00:00:00.000Z
166,yogurt,2014-01-01T00:00:00.000Z
167,zwieback,2014-01-07T00:00:00.000Z
